#{"t_start": 1775975401.9664023, "env_id": null}
r,l,t
-120.780946,112,0.661328
-124.746552,87,3.074079
-102.975372,102,5.902205
-106.723787,41,7.080581
-108.504376,48,8.430501
-158.783214,74,10.478301
-147.914586,63,12.25313
-109.919397,39,13.354733
