#{"t_start": 1776722783.6191938, "env_id": null}
r,l,t
5100.587356,4446,2241.401268
5100.587356,4446,2254.827691
5100.587356,4446,2268.924511
5100.587356,4446,2283.229925
5100.587356,4446,2296.574418
5100.587356,4446,2309.893103
5100.587356,4446,2323.555617
5100.587356,4446,2336.980656
5100.587356,4446,2350.06064
5100.587356,4446,2363.533529
5100.587356,4446,2377.042025
5100.587356,4446,2390.12409
5100.587356,4446,2403.624231
5100.587356,4446,2417.149447
5100.587356,4446,2430.45685
5100.587356,4446,2443.813476
5100.587356,4446,2457.871019
5100.587356,4446,2471.606144
5100.587356,4446,2485.597388
5100.587356,4446,2499.748461
5100.587356,4446,2513.49871
5100.587356,4446,2526.586472
5100.587356,4446,2540.320615
5100.587356,4446,2553.637108
5100.587356,4446,2566.914749
5100.587356,4446,2579.946296
5100.587356,4446,2593.389969
5100.587356,4446,2606.000781
5100.587356,4446,2619.350758
5100.587356,4446,2633.283026
5100.587356,4446,2647.076064
5100.587356,4446,2661.254745
5100.587356,4446,2674.708488
5100.587356,4446,2688.297219
5100.587356,4446,2701.77227
5100.587356,4446,2715.439506
5100.587356,4446,2728.609951
5100.587356,4446,2742.326261
5100.587356,4446,2755.516221
5100.587356,4446,2768.862941
5100.587356,4446,2782.129923
5100.587356,4446,2795.28305
5100.587356,4446,2808.839391
5100.587356,4446,2822.495111
5100.587356,4446,2835.59336
5100.587356,4446,2849.065318
5100.587356,4446,2862.322857
5100.587356,4446,2875.330277
5100.587356,4446,2888.627541
5100.587356,4446,2902.042403
5100.587356,4446,2915.070649
5100.587356,4446,2928.185312
5100.587356,4446,2941.711586
5100.587356,4446,2955.371206
5100.587356,4446,2968.86689
5100.587356,4446,2982.540178
5100.587356,4446,2995.697315
5100.587356,4446,3009.344334
5100.587356,4446,3022.659731
5100.587356,4446,3037.646335
5100.587356,4446,3052.313835
5100.587356,4446,3066.699233
5100.587356,4446,3080.819657
5100.587356,4446,3095.64155
5100.587356,4446,3109.452236
5100.587356,4446,3123.547237
5100.587356,4446,3137.786441
5100.587356,4446,3151.236207
5100.587356,4446,3165.065752
5100.587356,4446,3178.478808
5100.587356,4446,3192.012202
5100.587356,4446,3205.470187
5100.587356,4446,3218.507651
5100.587356,4446,3231.979567
5100.587356,4446,3245.894252
5100.587356,4446,3260.044925
5100.587356,4446,3273.80841
5100.587356,4446,3287.51656
5100.587356,4446,3301.165881
5100.587356,4446,3314.618203
5100.587356,4446,3327.917639
5100.587356,4446,3341.581882
5100.587356,4446,3355.263996
5100.587356,4446,3368.349326
5100.587356,4446,3382.379902
5100.587356,4446,3395.679307
5100.587356,4446,3409.343301
5100.587356,4446,3422.618222
5100.587356,4446,3436.682939
5100.587356,4446,3450.425273
5100.587356,4446,3463.858943
5100.587356,4446,3477.617098
5100.587356,4446,3490.904288
5100.587356,4446,3505.001919
5100.587356,4446,3518.694056
5100.587356,4446,3532.632436
5100.587356,4446,3545.851321
5100.587356,4446,3559.183952
5100.587356,4446,3573.2539
5100.587356,4446,3586.602703
5100.587356,4446,3599.865576
5100.587356,4446,3613.399558
5100.587356,4446,3627.090327
5100.587356,4446,3640.69209
5100.587356,4446,3654.501526
5100.587356,4446,3668.417216
5100.587356,4446,3681.30418
5100.587356,4446,3695.136246
5100.587356,4446,3708.5555
5100.587356,4446,3721.996332
5100.587356,4446,3735.478801
5100.587356,4446,3748.722264
5100.587356,4446,3762.473861
5100.587356,4446,3776.448857
5100.587356,4446,3789.808622
5100.587356,4446,3803.437061
5100.587356,4446,3816.460158
5100.587356,4446,3829.942316
5100.587356,4446,3843.317262
5100.587356,4446,3856.57854
5100.587356,4446,3869.879517
5100.587356,4446,3883.38311
5100.587356,4446,3896.854304
5100.587356,4446,3910.353828
5100.587356,4446,3924.160056
5100.587356,4446,3939.315746
5100.587356,4446,3954.081194
5100.587356,4446,3967.553642
5100.587356,4446,3981.260538
5100.587356,4446,3995.128411
5100.587356,4446,4008.704616
5100.587356,4446,4022.281156
5100.587356,4446,4035.661859
5100.587356,4446,4048.889315
5100.587356,4446,4062.409452
5100.587356,4446,4076.363458
5100.587356,4446,4089.636329
5100.587356,4446,4103.726599
5100.587356,4446,4117.014108
5100.587356,4446,4130.860687
5100.587356,4446,4143.836656
5100.587356,4446,4157.269326
5100.587356,4446,4171.209352
5100.587356,4446,4185.19657
5100.587356,4446,4199.134573
5100.587356,4446,4212.635093
5100.587356,4446,4225.590898
5100.587356,4446,4239.703504
5100.587356,4446,4252.96251
5100.587356,4446,4267.053805
5100.587356,4446,4280.871378
5100.587356,4446,4294.400289
5100.587356,4446,4307.587881
5100.587356,4446,4321.285957
5100.587356,4446,4335.188389
5100.587356,4446,4349.02295
5100.587356,4446,4362.230584
5100.587356,4446,4375.941468
5100.587356,4446,4389.153204
5100.587356,4446,4403.271192
5100.587356,4446,4417.04571
5100.587356,4446,4430.994197
5100.587356,4446,4444.429681
5100.587356,4446,4457.904759
5100.587356,4446,4471.499736
5100.587356,4446,4484.794679
5100.587356,4446,4498.21057
5100.587356,4446,4510.996333
5100.587356,4446,4524.195785
5100.587356,4446,4537.788443
5100.587356,4446,4551.459818
5100.587356,4446,4564.809418
5100.587356,4446,4578.120463
5100.587356,4446,4591.812235
5100.587356,4446,4605.368159
5100.587356,4446,4619.272742
5100.587356,4446,4632.703259
5100.587356,4446,4646.185401
5100.587356,4446,4659.997282
5100.587356,4446,4675.005646
5100.587356,4446,4689.025908
5100.587356,4446,4700.949606
5100.587356,4446,4712.912176
5100.587356,4446,4726.04254
5100.587356,4446,4738.032525
5100.587356,4446,4750.115849
5100.587356,4446,4762.633028
5100.587356,4446,4773.345854
5100.587356,4446,4784.128256
5100.587356,4446,4794.851447
5100.587356,4446,4807.795199
5100.587356,4446,4821.382129
5100.587356,4446,4835.466567
5100.587356,4446,4849.104155
5100.587356,4446,4862.032945
5100.587356,4446,4873.405981
5100.587356,4446,4887.576874
5100.587356,4446,4901.874334
5100.587356,4446,4914.533306
