#{"t_start": 1776722783.6191938, "env_id": null}
r,l,t
5100.582056,4446,13.517259
5100.587356,4446,27.434842
5100.587356,4446,41.182771
5100.587356,4446,55.200945
5100.587356,4446,68.525529
5100.587356,4446,82.100792
5100.587356,4446,95.186677
5100.587356,4446,108.072809
5100.587356,4446,121.676007
5100.587356,4446,135.087525
5100.587356,4446,148.801651
5100.587356,4446,162.566493
5100.587356,4446,176.438697
5100.587356,4446,190.387474
5100.587356,4446,203.68876
5100.587356,4446,216.758077
5100.587356,4446,231.305904
5100.587356,4446,245.086904
5100.587356,4446,257.924685
5100.587356,4446,271.376371
5100.587356,4446,284.910356
5100.587356,4446,297.585429
5100.587356,4446,310.809791
5100.587356,4446,324.541024
5100.587356,4446,339.048409
5100.587356,4446,354.174703
5100.587356,4446,367.870193
5100.587356,4446,381.22908
5100.587356,4446,394.527232
5100.587356,4446,408.181868
5100.587356,4446,421.153564
5100.587356,4446,434.341367
5100.587356,4446,447.383433
5100.587356,4446,460.824138
5100.587356,4446,473.990648
5100.587356,4446,487.79076
5100.587356,4446,501.367009
5100.587356,4446,514.340788
5100.587356,4446,527.795746
5100.587356,4446,541.239594
5100.587356,4446,554.809044
5100.587356,4446,567.865268
5100.587356,4446,581.187337
5100.587356,4446,594.399375
5100.587356,4446,607.745175
5100.587356,4446,620.881024
5100.587356,4446,634.250458
5100.587356,4446,648.03939
5100.587356,4446,661.90958
5100.587356,4446,675.696879
5100.587356,4446,689.51388
5100.587356,4446,703.334432
5100.587356,4446,717.312146
5100.587356,4446,730.676917
5100.587356,4446,744.295072
5100.587356,4446,757.522087
5100.587356,4446,771.005595
5100.587356,4446,784.605031
5100.587356,4446,797.919203
5100.587356,4446,811.636388
5100.587356,4446,825.489332
5100.587356,4446,839.400052
5100.587356,4446,853.121854
5100.587356,4446,867.204381
5100.587356,4446,881.208572
5100.587356,4446,895.091492
5100.587356,4446,908.800621
5100.587356,4446,922.588421
5100.587356,4446,936.290221
5100.587356,4446,949.960717
5100.587356,4446,963.330148
5100.587356,4446,976.499272
5100.587356,4446,989.89156
5100.587356,4446,1003.216547
5100.587356,4446,1016.069328
5100.587356,4446,1029.596172
5100.587356,4446,1043.06841
5100.587356,4446,1056.718056
5100.587356,4446,1070.538578
5100.587356,4446,1084.490405
5100.587356,4446,1098.097036
5100.587356,4446,1111.804966
5100.587356,4446,1125.326341
5100.587356,4446,1138.80545
5100.587356,4446,1152.82464
5100.587356,4446,1166.247825
5100.587356,4446,1180.100703
5100.587356,4446,1193.226671
5100.587356,4446,1207.065849
5100.587356,4446,1221.896926
5100.587356,4446,1236.87671
5100.587356,4446,1251.756111
5100.587356,4446,1265.369148
5100.587356,4446,1279.388526
5100.587356,4446,1293.620784
5100.587356,4446,1307.556248
5100.587356,4446,1321.029969
5100.587356,4446,1334.949865
5100.587356,4446,1348.893592
5100.587356,4446,1362.243744
5100.587356,4446,1376.095372
5100.587356,4446,1389.485846
5100.587356,4446,1403.071707
5100.587356,4446,1416.469368
5100.587356,4446,1430.066914
5100.587356,4446,1443.395292
5100.587356,4446,1456.545102
5100.587356,4446,1469.70717
5100.587356,4446,1483.031779
5100.587356,4446,1496.257807
5100.587356,4446,1509.713104
5100.587356,4446,1522.735623
5100.587356,4446,1536.060159
5100.587356,4446,1549.631914
5100.587356,4446,1563.417753
5100.587356,4446,1576.84667
5100.587356,4446,1590.483264
5100.587356,4446,1603.592238
5100.587356,4446,1616.894224
5100.587356,4446,1630.102323
5100.587356,4446,1643.653466
5100.587356,4446,1656.94938
5100.587356,4446,1670.354337
5100.587356,4446,1683.359139
5100.587356,4446,1696.62868
5100.587356,4446,1710.540169
5100.587356,4446,1724.130045
5100.587356,4446,1737.871583
5100.587356,4446,1751.324856
5100.587356,4446,1765.015371
5100.587356,4446,1778.228078
5100.587356,4446,1791.962626
5100.587356,4446,1805.465458
5100.587356,4446,1818.996287
5100.587356,4446,1832.37569
5100.587356,4446,1845.622944
5100.587356,4446,1858.939034
5100.587356,4446,1872.547914
5100.587356,4446,1885.773971
5100.587356,4446,1899.688005
5100.587356,4446,1913.464881
5100.587356,4446,1927.23598
5100.587356,4446,1940.865586
5100.587356,4446,1954.167917
5100.587356,4446,1967.643513
5100.587356,4446,1981.295021
5100.587356,4446,1994.551887
5100.587356,4446,2008.536854
5100.587356,4446,2022.609416
5100.587356,4446,2036.080579
5100.587356,4446,2049.817396
5100.587356,4446,2063.652142
5100.587356,4446,2077.627718
5100.587356,4446,2090.893503
5100.587356,4446,2104.123189
5100.587356,4446,2117.481016
5100.587356,4446,2132.037495
5100.587356,4446,2146.725059
5100.587356,4446,2160.42246
5100.587356,4446,2173.264428
5100.587356,4446,2186.659118
5100.587356,4446,2200.68381
5100.587356,4446,2213.979802
5100.587356,4446,2227.634217
